accessURI,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
https://fm-digital-assets.fieldmuseum.org/2433/459/V0573776F.jpg,V0573776F,Dr. Edgar A. Mearns,E. A. Mearns,N/A,2832,Jan. 10 to Feb. 1910,1910-01-10,1910-02-02,Cyperus callistus Ridley,Cyperus maculatus Bock.,J. Raynal,19.10.1971,N/A,"Congo, the Democratic Republic of the",N/A,N/A,N/A,"""Rhino Camp,"" Bahr el Jebel, Lado Enclave, Congo Free State","""Rhino Camp,"" Bahr el Jebel, Lado Enclave",N/A,N/A,N/A,N/A,468360,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2437/184/V0576008F.jpg,V0576008F,F. G. Overlaet,F. G. Overlaet,N/A,s.n.,1923-4,1923-00-00,1924-00-00,Habenaria,Habenaria,Börge Pettersson,1984,N/A,"Congo, the Democratic Republic of the",N/A,N/A,N/A,Belgian Congo,[precise locality unknown],N/A,N/A,N/A,N/A,752356,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2433/678/V0576279F.jpg,V0576279F,R. A. Maas Gesteranus,R. A. Maas Gesteranus,N/A,4924,14-VI 1949,1949-06-14,N/A,Pycreus segmentatus C.B.Cl.,Pycreus segmentatus C.B.Cl.,N/A,N/A,Dombeya mastersii and Olea hochstetteri,Kenya,Nyanza,N/A,N/A,"Nyanza Province, Londiani Distr., Tinderet Forest Reserve, Camp I","Londiani District, Tinderet Forest Reserve, Camp I","Glade surrounded by open, tall forest",N/A,2260 m s.m.,"lat. 0° 5' S., long. 35° 27' E.",1447352,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2437/413/V0577013F.jpg,V0577013F,J. M. et B. Reitsma,J. M. Reitsma,B. Reitsma,2013,3-3-36,1986-03-03,N/A,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,O. Kosovsky,2011,N/A,Gabon,N/A,N/A,N/A,"Ca. 6 km NW of Oveng, chantier Rougier Océan ","Ca. 6 kilometers northwest of Oveng, chantier Rougier Océan",Primary rain forest,N/A,N/A,0 41 N x 11 07 E,2310219,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2434/201/V0577892F.jpg,V0577892F,Carvalho,Carvalho,N/A,2102,26-VII-1986,1986-07-26,N/A,Mariscus alternifolius Vahl,Mariscus alternifolius Vahl,C. Cebolla & Ma A. Rivas Ponce,1995,N/A,Equatorial Guinea,N/A,N/A,Malabo,"Bioco: Malabo, finca las Carboneras","Bioco: Malabo, finca las Carboneras",Bosque secundario y terrenos incultos,N/A,8 m,32NMK7415,220108,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2437/617/V0578553F.jpg,V0578553F,Fernandez Casas,Fernandez Casas,N/A,11206,5-II-1989,1989-02-05,N/A,Agrostis manii (Hooker fil.) Stapf,Agrostis manii (Hooker fil.) Stapf,N/A,N/A,N/A,Equatorial Guinea,N/A,N/A,N/A,Bioco: cumbre del pico Basilé,Bioco: cumbre del pico Basilé,Márgenes de la pista,N/A,2870 m,32NMJ7396,2200806,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2441/863/V0574052F.jpg,V0574052F,F. G. Overlaet,F. G. Overlaet,N/A,s.n.,1923-4,1923-00-00,1924-00-00,Scirpus,Scirpus mucronatus L.,A. A. Beetle,1944,N/A,"Congo, the Democratic Republic of the",N/A,N/A,N/A,Belgian Congo,[precise locality unknown],N/A,N/A,N/A,N/A,752378,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2446/122/V0577681F.jpg,V0577681F,C.J.P. Seegeler,C. J. P. Seegeler,N/A,2806,23 October 1972,1972-10-23,N/A,Vernonia abyssinica Sch.Bip.,Vernonia abyssinica Sch.Bip.,G.J.H. Amshoff,1982,N/A,Ethiopia,N/A,N/A,N/A,"Shewa, c. 3 km from Metahara, on road to Nazareth ","Shewa, ca. 3 kilometers from Metahara, on road to Nazareth",N/A,rock,925m,c. 08° 56' N 39° 55' E,2302805,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2442/190/V0597557F.jpg,V0597557F,P-Beatra,P-Beatra,N/A,48,05.08.2003,2003-08-05,N/A,Cardus leptacanthus Fres,Cardus leptacanthus Fres,N/A,N/A,N/A,"Congo, the Democratic Republic of the",Sud-Kivu,N/A,N/A,"Parc National de Kahuzi-Biega, Kabare, Musisi","Parc National de Kahuzi-Biega, Kabare, Musisi",N/A,N/A,N/A,N/A,2257689,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2452/643/V0594376F.jpg,V0594376F,J.M. Fay,J. M. Fay,N/A,8017,25 May 1987,1987-05-25,N/A,Burkea africana Hook.,Burkea africana Hook.,J.M. Fay,N/A,N/A,Central African Republic,N/A,N/A,N/A,Park Manovo-Gounda-St. Floris. Vicinity of Camp Koumbala,Park Manovo-Gounda-Saint Floris. Vicinity of Camp Koumbala,N/A,N/A,600 m,08°29'N 21°12'E,1999188,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2453/856/V0597275F.jpg,V0597275F,P.C.M. Jansen,P. C. M. Jansen,N/A,5996,14 April 1976,1976-04-14,N/A,Circium vulgare (Savi) Ten.,Circium vulgare (Savi) Ten.,C.H.H. Jongkind,1987,N/A,Ethiopia,N/A,N/A,N/A,"Harege, around Damata Village, near Alemaya ","Harege, around Damata Village, near Alemaya ",Between chat and Sorgum fields,N/A,2000m,c. 9°24' N 42°01' E,2302849,Typed,no type status
